,away,bet.result,betting.opportunity,bookie,day,game.result,home,month,outcome,predicted.bookie.rank,predicted.run.rank,predicted.runs,the.bet,year,date
3,COL,100,0.5,6.5,3,UNDER,TB,4,1.0,1.5,1.0,8.900274407748114,UNDER,2019,2019-04-03
4,HOU,-100,0.5,9.0,3,UNDER,TEX,4,4.0,4.5,5.0,10.71241117946292,OVER,2019,2019-04-03
0,SF,100,7.0,8.5,4,OVER,CIN,5,11.0,5.0,12.0,10.886837511770484,OVER,2019,2019-05-04
1,SEA,100,5.0,8.5,4,OVER,CLE,5,9.0,5.0,10.0,10.47843282353358,OVER,2019,2019-05-04
2,MIN,-100,3.5,9.0,4,OVER,NYY,5,10.0,8.5,5.0,9.855423367830456,UNDER,2019,2019-05-04
3,ARI,-100,3.0,10.5,4,OVER,COL,5,11.0,12.0,9.0,10.251166338630444,UNDER,2019,2019-05-04
4,KC,-100,2.5,9.0,4,OVER,DET,5,18.0,8.5,6.0,10.046338004444593,UNDER,2019,2019-05-04
5,TB,100,1.5,9.0,4,UNDER,BAL,5,3.0,8.5,7.0,10.082130370474008,UNDER,2019,2019-05-04
6,STL,-100,1.0,8.5,4,OVER,CHC,5,11.0,5.0,4.0,9.80380589796266,UNDER,2019,2019-05-04
7,OAK,100,0.5,7.5,4,OVER,PIT,5,10.0,1.5,2.0,9.712289346131344,OVER,2019,2019-05-04
8,ATL,-100,0.5,7.5,4,OVER,MIA,5,11.0,1.5,1.0,8.096429731148147,UNDER,2019,2019-05-04
9,BOS,-100,0.5,9.0,4,OVER,CWS,5,17.0,8.5,8.0,10.227569644309137,UNDER,2019,2019-05-04
10,WSH,100,0.0,8.0,4,OVER,PHI,5,18.0,3.0,3.0,9.721284731184367,OVER,2019,2019-05-04
11,TOR,100,0.0,10.0,4,OVER,TEX,5,13.0,11.0,11.0,10.825068200825577,OVER,2019,2019-05-04
0,HOU,100,4.5,9.0,17,UNDER,OAK,4,3.0,8.5,4.0,9.507183487245962,UNDER,2019,2019-04-17
1,TOR,-100,4.0,8.5,17,UNDER,MIN,4,5.0,5.0,9.0,10.622303048948488,OVER,2019,2019-04-17
2,PIT,100,3.0,8.5,17,UNDER,DET,4,5.0,5.0,2.0,9.038618636544829,UNDER,2019,2019-04-17
3,NYM,-100,2.0,8.5,17,UNDER,PHI,4,5.0,5.0,7.0,10.203253467075873,OVER,2019,2019-04-17
4,CIN,-100,1.5,8.0,17,UNDER,LAD,4,5.0,1.5,3.0,9.50688182015781,OVER,2019,2019-04-17
5,SF,100,1.0,8.5,17,OVER,WSH,4,15.0,5.0,6.0,10.201472455857989,OVER,2019,2019-04-17
6,ARI,100,0.5,9.0,17,UNDER,ATL,4,5.0,8.5,8.0,10.291000514735078,UNDER,2019,2019-04-17
7,CHC,100,0.5,8.0,17,UNDER,MIA,4,6.0,1.5,1.0,8.884815554939653,UNDER,2019,2019-04-17
8,LAA,-100,0.0,10.5,17,UNDER,TEX,4,9.0,10.0,10.0,10.834049226151912,OVER,2019,2019-04-17
9,KC,-100,0.0,8.5,17,UNDER,CWS,4,7.0,5.0,5.0,10.080844639221427,OVER,2019,2019-04-17
0,OAK,100,10.5,9.0,26,UNDER,TOR,4,6.0,11.5,1.0,9.106926808101822,UNDER,2019,2019-04-26
1,SD,0,10.0,7.0,26,PUSH,WSH,4,7.0,2.0,12.0,10.38215868751951,OVER,2019,2019-04-26
2,CHC,-100,9.5,9.0,26,OVER,ARI,4,11.0,11.5,2.0,9.116864045939145,UNDER,2019,2019-04-26
3,PIT,100,6.5,7.5,26,OVER,LAD,4,8.0,3.5,10.0,10.233874395559297,OVER,2019,2019-04-26
